x.1,x.2,x.3,x.4,x.5,Class
-0.93509915959,-0.184257920732,-0.158924396723,-0.224496215755,-0.13340850529,1
-0.759821640308,-0.532890615588,-0.294301859641,-0.105425754184,0.000665025662512,1
-0.577554098036,-0.455068666426,0.00943956165597,-0.433642362222,-0.177296637687,1
-0.676763598886,-0.389052523792,-0.222351450077,-0.367338130263,0.187739499319,1
-0.748117450792,-0.495666184797,-0.227886096967,-0.0682228973457,-0.150900911281,1
-0.797769721804,-0.441937718347,-0.306367389861,-0.0849588530007,-0.0154656960302,1
-0.646938618648,-0.272319600048,-0.00605744963471,-0.0620401876133,-0.211234000209,1
-0.386247502074,-0.30111131189,-0.128151760018,-0.0617203922823,-0.0831309311826,1
-0.556382243785,-0.34640705939,-0.0565334292672,-0.272572113847,-0.135817639049,1
-0.722239863688,-0.322674978918,-0.28533573168,-0.12802462424,-0.0629151565937,1
-0.716227698214,-0.319060956511,-0.0961615009962,-0.342287496003,-0.0644863307845,1
-0.765545405732,-0.268223707987,-0.0050612131946,-0.233983477241,-0.0977952236305,1
-0.623143031111,-0.28894410312,-0.111437126411,-0.150516895853,0.0116632449984,1
-0.686072516726,-0.437119021805,-0.0875274518486,-0.266602601002,-0.172059390384,1
-0.829997634304,-0.566139621732,-0.227554018154,-0.244216927833,-0.0186080444119,1
-0.643443853134,-0.281716058306,-0.184494465353,-0.211811000959,-0.119267937572,1
-0.775061050301,-0.352671364896,-0.274709209652,-0.137085491952,-0.106489054153,1
-0.628030337512,-0.490486086014,-0.400456386983,0.0246243470845,-0.160013721588,1
-0.618321052944,-0.37411456451,-0.199327319017,-0.0933801300501,-0.0288730491254,1
-0.575796234989,-0.207267196723,-0.114425835732,-0.166293465515,-0.211967214832,1
-0.467062023372,-0.224253102036,-0.400345694045,-0.275876665601,-0.229459620823,1
-0.725283674986,-0.171247440067,-0.436542284702,-0.198379597058,-0.0138945218393,1
-0.510079232012,-0.396641970847,-0.146637480629,-0.333013431404,-0.136446108725,1
-0.554129320603,-0.228348994097,-0.0663851007306,-0.27790203603,-0.0833404210747,1
-0.566029488765,-0.327011805807,-0.0643926278503,-0.198272998614,-0.0470986697392,1
-0.612666788969,-0.436155282496,-0.411304294886,-0.144440784565,-0.123981460145,1
-0.529417932101,-0.329903023732,-0.0742442993137,-0.334186014284,-0.164622499214,1
-0.449980912855,-0.351948560414,0.0206195483728,-0.069715275557,0.00181722006913,1
-0.578539749429,-0.212085893266,-0.0256500996236,-0.249440251572,0.0229756991725,1
-0.604094486875,-0.443865196964,-0.346327540403,-0.353800127918,-0.125028909605,1
-0.404698653996,-0.297135887243,-0.104131392517,-0.0433854599723,-0.267901016026,1
-0.663545765326,-0.470127093121,-0.0849815142794,-0.0908217674022,-0.251246569603,1
-0.460761829851,-0.520241537164,-0.0177909010405,-0.0619335891696,-0.229250130931,1
-0.669597487869,-0.403870015661,-0.293194930263,-0.248480865579,0.0112442652142,1
-0.418908254572,-0.489401879292,-0.309024020368,-0.271932523185,-0.04123295276,1
-0.506383981412,-0.560357185881,-0.135678879787,-0.205628291227,-0.0658480150833,1
-0.636260476114,-0.34640705939,-0.145198472437,-0.0798421277049,-0.0492983136064,1
-0.484157221514,-0.321108902542,-0.252681315032,-0.132821554205,-0.228202681471,1
-0.577762796258,-0.288100831225,-0.306920854549,-0.255303165974,-0.291573373835,1
-0.495155549102,-0.145226478738,-0.128594531769,-0.132181963543,-0.146501623547,1
-0.624952737001,-0.397485242742,-0.28987414213,-0.204455708347,-0.154357494501,1
-0.476005255532,-0.498557402723,-0.125384436573,-0.232384500586,-0.212176704724,1
-0.446089721172,-0.121614865679,-0.33647586894,-0.134633727748,-0.139274222269,1
-0.514632434167,-0.40182206963,-0.256112796104,-0.0917811533952,-0.12754278831,1
-0.63427870152,-0.310025900494,-0.359057228249,-0.272465515403,-0.0833404210747,1
-0.508896010966,-0.218470666185,-0.121842262564,-0.281313186227,-0.146606368493,1
-0.488971731762,-0.0257228044814,-0.179402590215,-0.306470418932,-0.263082748507,1
-0.587704136439,-0.301713648958,-0.312012729688,-0.284404541094,-0.258264480989,1
-0.458360726097,-0.250876400434,-0.0394867168475,-0.146679351881,-0.146920603331,1
-0.465832270515,-0.248948921817,-0.203755036529,-0.222470845326,0.0570178066408,1
-0.634562688433,-0.240998072521,-0.144977086562,-0.222684042213,-0.0028963025034,1
-0.504600337504,-0.345563787495,-0.288767212752,-0.107451124614,-0.140426416675,1
-0.454667505152,-0.413146006505,-0.0595221385876,-0.109583093487,0.00768293704829,1
-0.619009589494,-0.576740754126,-0.346216847465,0.0707814731905,-0.152367340526,1
-0.439477606625,-0.166910613179,-0.411193601948,-0.18185683829,-0.279527705038,1
-0.546397237544,-0.238347789423,-0.308027783927,-0.341434708453,-0.162946580078,1
-0.479336753168,-0.414471148054,-0.317768762453,-0.292079629037,0.01082528543,1
-0.786786051355,-0.232444886158,-0.262754372371,-0.372668052446,-0.0770557243113,1
-0.649735795956,-0.210037947235,-0.280575935355,-0.166933056177,-0.0283493243951,1
-0.873868342587,-0.37074147693,-0.217148882001,-0.247947873361,-0.098737928145,1
-0.473062476222,-0.428927237682,-0.129922847022,-0.248907259354,0.00757819210223,1
-0.645550649634,-0.617338272497,-0.39104748727,-0.209039441424,-0.118325233058,1
-0.375257089534,-0.490967955668,-0.409865286695,-0.139963649931,-0.100937572012,1
-0.885807855764,-0.239070593904,-0.306810161612,-0.321500799488,-0.227469466848,1
-0.605479905189,-0.132697867727,-0.207629289351,-0.394414134954,-0.0788363883943,1
-0.696470719539,-0.545901096253,-0.0933941775515,-0.192196887325,-0.131313606368,1
-0.534661985217,-0.0599355499337,-0.0660530219172,-0.172902569022,-0.219299361056,1
-0.804835662377,-0.528794723527,-0.203422957715,-0.174181750346,-0.0766367445271,1
-0.651792084944,-0.596376942537,-0.221797985389,-0.14198902036,-0.441987116372,1
-0.534750828369,-0.358453800747,-0.276480296657,-0.16352190598,-0.143778254949,1
-0.64580721621,-0.232565353572,-0.241612021253,-0.02323835412,-0.0880539436472,1
-0.348467984946,-0.366766052283,-0.339243192384,-0.301993284298,-0.164831989107,1
-0.519318801081,-0.528794723527,-0.519894066859,-0.405926766869,-0.202644914633,1
